9,6,0,0,0
ENG6,211861.787,221578.87,0,0
KNUST_TP1,211796.202,221741.169,0,0
ICYCUP,211702.527,221748.576,0,0
GEDM1,211622.873,221723.858,0,0
ENG3,211739.019,221484.243,0,0
ENG5,211819.12,221527.223,0,0
ENG2,211717.786,221555.906,0,0
ENG1,211758.531,221632.444,0,0
GE7,211803.505,221567.466,0,0
ENG6,104.09126,-38.74873,0,0
KNUST_TP1,37.92407,123.62648,0,0
ICYCUP,-55.81592,130.91559,0,0
GEDM1,-135.43769,106.07776,0,0
ENG3,-19.02801,-133.39058,0,0
ENG5,61.42581,-90.51403,0,0
ENG2,-40.29624,-61.76596,0,0
ENG1,1.71474,13.9537,0,0
GE7,45.42243,-50.15385,0,0
KNUST/10/15/6,-218.40308,-43.74173,0,0
ENG7,60.70971,14.62037,0,0
ENG4,50.6767,-152.59558,0,0
KNUST_TP6,57.95974,36.61667,0,0
KNUST/10/15/5,-281.70671,-71.39802,0,0
KNUST/GE/07/21,-206.88375,-6.84042,0,0
